Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 135.12 307 0 118 NA NA NA 855 0 213 NA NA NA 1599 323 700 NA NA NA 1967 800 1150 NA NA NA
1560718800.0 135.13 324 0 NA NA NA NA 860 0 NA NA NA NA 1601 319 NA NA NA NA 3375 529 NA NA NA NA
1560718800.0 135.2 264 0 116 NA NA NA 788 0 212 NA NA NA 1287 271 613 NA NA NA 2396 900 920 NA NA NA
1560718800.0 135.5 307 0 113 NA NA NA 880 0 210 NA NA NA 1596 314 671 NA NA NA 2693 628 1219 NA NA NA
1560718800.0 135.8 137 NA NA NA NA NA 256 NA NA NA NA NA 549 NA NA NA NA NA 3414 NA NA NA NA NA
1560718800.0 1352.0 NA 137 339 0 NA NA NA 474 698 0 NA NA NA 488 1694 553 NA NA NA 636 2291 608 NA NA
1560718800.0 1353.0 NA 145 344 0 NA NA NA 472 708 0 NA NA NA 500 1824 559 NA NA NA 835 2398 794 NA NA
1560718800.0 136.722 NA 81 358 0 NA NA NA 162 721 0 NA NA NA 459 7586 734 NA NA NA 901 3425 819 NA NA
1560718800.0 136.723 NA 82 337 0 NA NA NA 155 700 0 NA NA NA 510 7082 719 NA NA NA 959 3175 815 NA NA
1560718800.0 136.724 NA 84 364 0 NA NA NA 158 660 0 NA NA NA 511 8490 731 NA NA NA 1765 3563 842 NA NA
1560718800.0 136.725 NA 83 364 0 NA NA NA 159 818 0 NA NA NA 486 7557 726 NA NA NA 1001 3381 834 NA NA
1560718800.0 136.726 NA 85 351 0 NA NA NA 161 670 0 NA NA NA 526 7800 734 NA NA NA 1592 3455 996 NA NA
1560718800.0 136.727 NA 137 358 0 NA NA NA 292 684 0 NA NA NA 1217 7944 755 NA NA NA 1298 3679 857 NA NA
1560718800.0 136.729 NA 81 350 0 NA NA NA 153 684 0 NA NA NA 451 7484 729 NA NA NA 722 3200 924 NA NA
1560718800.0 136.73 NA 85 384 0 NA NA NA 153 730 0 NA NA NA 501 7632 728 NA NA NA 967 3798 933 NA NA
1560718800.0 136.731 NA 83 376 0 NA NA NA 159 740 0 NA NA NA 471 7673 728 NA NA NA 977 3474 904 NA NA
1560718800.0 136.733 NA 160 63 0 NA NA NA 300 129 0 NA NA NA 1281 322 381 NA NA NA 4469 1277 759 NA NA
1560718800.0 136.734 NA 82 343 0 NA NA NA 158 707 0 NA NA NA 603 7503 735 NA NA NA 1268 3294 968 NA NA
1560718800.0 136.735 NA 85 294 0 NA NA NA 170 576 0 NA NA NA 614 2326 600 NA NA NA 1222 1996 708 NA NA
1560718800.0 136.736 NA 82 350 0 NA NA NA 161 658 0 NA NA NA 498 10695 725 NA NA NA 724 4917 1128 NA NA
1560718800.0 136.737 NA 83 369 0 NA NA NA 160 782 0 NA NA NA 540 12079 734 NA NA NA 554 4937 905 NA NA
1560718800.0 136.739 NA 83 369 0 NA NA NA 151 748 0 NA NA NA 565 13729 726 NA NA NA 788 5505 991 NA NA
1560718800.0 136.74 NA 82 387 0 NA NA NA 163 750 0 NA NA NA 538 12198 731 NA NA NA 548 4780 868 NA NA
1560718800.0 136.741 NA 81 360 0 NA NA NA 154 722 0 NA NA NA 577 12024 733 NA NA NA 889 5012 852 NA NA
1560718800.0 136.742 NA 83 353 0 NA NA NA 160 733 0 NA NA NA 511 11291 720 NA NA NA 677 4284 894 NA NA
1560718800.0 136.743 NA 83 379 0 NA NA NA 157 712 0 NA NA NA 545 10795 720 NA NA NA 711 4434 911 NA NA
