Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560636000.0 511.0 34 0 NA NA NA NA NA NA NA 107 0 NA NA NA NA NA NA NA 9101 129 NA NA NA NA NA NA NA 11973 352 NA NA NA NA NA NA NA
1560636000.0 512.0 14 36 0 NA NA NA NA NA NA 59 93 0 NA NA NA NA NA NA 1810 208 136 NA NA NA NA NA NA 24508 1131 366 NA NA NA NA NA NA
1560636000.0 513.0 12 29 0 NA NA NA NA NA NA 59 92 0 NA NA NA NA NA NA 2642 248 185 NA NA NA NA NA NA 5142 650 572 NA NA NA NA NA NA
1560636000.0 514.0 12 30 0 NA NA NA NA NA NA 59 93 0 NA NA NA NA NA NA 456 269 184 NA NA NA NA NA NA 3167 1722 1058 NA NA NA NA NA NA
1560636000.0 515.0 15 36 0 NA NA NA NA NA NA 60 92 0 NA NA NA NA NA NA 1795 211 127 NA NA NA NA NA NA 22536 854 315 NA NA NA NA NA NA
1560636000.0 516.0 12 35 0 NA NA NA NA NA NA 60 93 0 NA NA NA NA NA NA 873 249 185 NA NA NA NA NA NA 5441 643 1189 NA NA NA NA NA NA
1560636000.0 517.0 14 39 0 NA NA NA NA NA NA 60 93 0 NA NA NA NA NA NA 927 201 122 NA NA NA NA NA NA 1428 657 194 NA NA NA NA NA NA
1560636000.0 518.0 14 32 0 NA NA NA NA NA NA 59 92 0 NA NA NA NA NA NA 1855 202 127 NA NA NA NA NA NA 29592 286 219 NA NA NA NA NA NA
1560636000.0 519.0 12 35 0 NA NA NA NA NA NA 60 93 0 NA NA NA NA NA NA 2596 238 192 NA NA NA NA NA NA 4232 721 1142 NA NA NA NA NA NA
1560636000.0 520.0 12 37 0 NA NA NA NA NA NA 59 93 0 NA NA NA NA NA NA 909 216 134 NA NA NA NA NA NA 1844 460 195 NA NA NA NA NA NA
1560636000.0 521.0 12 32 0 NA NA NA NA NA NA 60 93 0 NA NA NA NA NA NA 852 250 181 NA NA NA NA NA NA 4081 688 726 NA NA NA NA NA NA
1560636000.0 522.0 15 37 0 NA NA NA NA NA NA 60 92 0 NA NA NA NA NA NA 1803 200 130 NA NA NA NA NA NA 22536 300 494 NA NA NA NA NA NA
1560636000.0 523.0 12 46 0 NA NA NA NA NA NA 59 100 0 NA NA NA NA NA NA 1093 263 149 NA NA NA NA NA NA 5221 683 299 NA NA NA NA NA NA
1560636000.0 524.0 13 38 0 NA NA NA NA NA NA 59 93 0 NA NA NA NA NA NA 919 230 117 NA NA NA NA NA NA 1760 1114 177 NA NA NA NA NA NA
1560636000.0 525.0 12 37 0 NA NA NA NA NA NA 60 93 0 NA NA NA NA NA NA 849 267 204 NA NA NA NA NA NA 4342 1487 1005 NA NA NA NA NA NA
1560636000.0 526.0 15 36 0 NA NA NA NA NA NA 60 92 0 NA NA NA NA NA NA 1805 206 132 NA NA NA NA NA NA 22177 621 436 NA NA NA NA NA NA
