Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 522.0 19 36 0 NA NA NA NA 68 91 0 NA NA NA NA 3168 208 163 NA NA NA NA 38937 546 327 NA NA NA NA
1560636000.0 523.0 22 50 0 NA NA NA NA 68 107 0 NA NA NA NA 773 173 165 NA NA NA NA 1415 499 556 NA NA NA NA
1560636000.0 524.0 19 37 0 NA NA NA NA 64 93 0 NA NA NA NA 955 220 157 NA NA NA NA 1899 611 283 NA NA NA NA
1560636000.0 525.0 21 47 0 NA NA NA NA 68 94 0 NA NA NA NA 582 236 179 NA NA NA NA 1992 849 697 NA NA NA NA
1560636000.0 526.0 19 44 0 NA NA NA NA 68 93 0 NA NA NA NA 3161 211 165 NA NA NA NA 38480 685 356 NA NA NA NA
1560636000.0 527.0 19 45 0 NA NA NA NA 64 92 0 NA NA NA NA 948 219 160 NA NA NA NA 1772 737 515 NA NA NA NA
1560636000.0 528.0 19 44 0 NA NA NA NA 68 92 0 NA NA NA NA 798 202 177 NA NA NA NA 3808 611 659 NA NA NA NA
1560636000.0 529.0 19 39 0 NA NA NA NA 68 92 0 NA NA NA NA 3176 241 170 NA NA NA NA 38480 1165 572 NA NA NA NA
1560636000.0 530.0 19 38 0 NA NA NA NA 64 94 0 NA NA NA NA 944 231 158 NA NA NA NA 1686 745 302 NA NA NA NA
1560636000.0 531.0 52 0 NA NA NA NA NA 195 0 NA NA NA NA NA 204 163 NA NA NA NA NA 625 322 NA NA NA NA NA
1560636000.0 534.0 46 0 NA NA NA NA NA 105 0 NA NA NA NA NA 235 164 NA NA NA NA NA 975 480 NA NA NA NA NA
