Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560805200.0 1325.3 NA 98 151 0 NA NA NA NA 177 187 0 NA NA NA NA 736 959 439 NA NA NA NA 788 1016 466 NA NA NA
1560805200.0 1325.4 NA 101 303 0 NA NA NA NA 177 359 0 NA NA NA NA 2134 8269 2759 NA NA NA NA 3457 8516 2861 NA NA NA
1560805200.0 1325.5 NA 152 0 NA NA NA NA NA 238 0 NA NA NA NA NA 12270 646 NA NA NA NA NA 13695 735 NA NA NA NA
1560805200.0 1325.51 NA 152 0 NA NA NA NA NA 232 0 NA NA NA NA NA 2133 205 NA NA NA NA NA 2273 226 NA NA NA NA
1560805200.0 1325.6 NA 203 NA NA NA NA NA NA 306 NA NA NA NA NA NA 16482 NA NA NA NA NA NA 18482 NA NA NA NA NA
1560805200.0 1325.7 NA 199 0 NA NA NA NA NA 302 0 NA NA NA NA NA 17857 632 NA NA NA NA NA 23225 883 NA NA NA NA
1560805200.0 1325.8 NA 198 0 NA NA NA NA NA 301 0 NA NA NA NA NA 15978 566 NA NA NA NA NA 16321 630 NA NA NA NA
1560805200.0 1326.0 NA 95 298 0 NA NA NA NA 175 354 0 NA NA NA NA 1934 7911 2727 NA NA NA NA 3408 8690 2811 NA NA NA
1560805200.0 1327.0 NA 99 303 0 NA NA NA NA 175 354 0 NA NA NA NA 1938 7517 2685 NA NA NA NA 2851 7722 2769 NA NA NA
1560805200.0 1328.0 NA 100 306 0 NA NA NA NA 178 357 0 NA NA NA NA 2195 7619 2711 NA NA NA NA 3294 7872 2781 NA NA NA
1560805200.0 1329.0 NA 97 301 0 NA NA NA NA 175 355 0 NA NA NA NA 1945 7817 2731 NA NA NA NA 3294 8179 2809 NA NA NA
1560805200.0 1329.1 NA 191 0 NA NA NA NA NA 289 0 NA NA NA NA NA 15071 558 NA NA NA NA NA 15399 613 NA NA NA NA
1560805200.0 1330.0 NA 100 315 0 NA NA NA NA 176 372 0 NA NA NA NA 2111 7523 2719 NA NA NA NA 3276 7717 2808 NA NA NA
1560805200.0 1331.0 NA 97 301 0 NA NA NA NA 176 355 0 NA NA NA NA 1993 7808 2742 NA NA NA NA 3367 8153 2841 NA NA NA
1560805200.0 1332.0 NA 105 301 0 NA NA NA NA 177 358 0 NA NA NA NA 2016 8214 2727 NA NA NA NA 3252 8846 2821 NA NA NA
1560805200.0 1333.0 NA 95 298 0 NA NA NA NA 175 353 0 NA NA NA NA 1898 7548 2723 NA NA NA NA 3616 7795 2840 NA NA NA
1560805200.0 1334.0 NA 98 302 0 NA NA NA NA 176 358 0 NA NA NA NA 2021 8036 2760 NA NA NA NA 3249 8311 2868 NA NA NA
1560805200.0 1335.0 NA 98 300 0 NA NA NA NA 175 354 0 NA NA NA NA 1928 7514 2722 NA NA NA NA 2934 7853 3077 NA NA NA
1560805200.0 1336.0 NA 97 306 0 NA NA NA NA 177 361 0 NA NA NA NA 2376 12350 2761 NA NA NA NA 3756 13097 2836 NA NA NA
1560805200.0 1337.0 NA 108 310 0 NA NA NA NA 184 371 0 NA NA NA NA 2549 10122 2642 NA NA NA NA 3855 10593 2706 NA NA NA
1560805200.0 1338.0 NA 100 302 0 NA NA NA NA 177 359 0 NA NA NA NA 2160 7836 2695 NA NA NA NA 3292 8105 2771 NA NA NA
1560805200.0 1339.0 NA 102 305 0 NA NA NA NA 178 361 0 NA NA NA NA 2287 9191 2682 NA NA NA NA 4116 9541 2761 NA NA NA
1560805200.0 134.0 NA 272 51 0 NA NA NA NA 361 75 0 NA NA NA NA 14830 556 329 NA NA NA NA 15260 608 447 NA NA NA
1560805200.0 134.701 NA 39 283 0 NA NA NA NA 107 336 0 NA NA NA NA 1206 22498 2978 NA NA NA NA 1585 22694 3084 NA NA NA
1560805200.0 134.705 NA 41 287 0 NA NA NA NA 111 341 0 NA NA NA NA 1317 31753 3119 NA NA NA NA 1770 32054 3209 NA NA NA
1560805200.0 134.707 NA 38 280 0 NA NA NA NA 112 332 0 NA NA NA NA 1244 27687 2914 NA NA NA NA 1653 27985 3014 NA NA NA
1560805200.0 134.804 NA 47 288 0 NA NA NA NA 113 343 0 NA NA NA NA 1431 36300 2824 NA NA NA NA 2008 36644 2884 NA NA NA
1560805200.0 134.805 NA 47 295 0 NA NA NA NA 112 343 0 NA NA NA NA 1434 35587 2928 NA NA NA NA 1985 35891 3022 NA NA NA
1560805200.0 134.807 NA 122 307 0 NA NA NA NA 196 360 0 NA NA NA NA 6723 38013 3479 NA NA NA NA 7785 38367 3559 NA NA NA
1560805200.0 134.808 NA 122 308 0 NA NA NA NA 195 363 0 NA NA NA NA 6861 37684 3186 NA NA NA NA 7961 37962 3274 NA NA NA
1560805200.0 134.809 NA 32 282 0 NA NA NA NA 110 334 0 NA NA NA NA 1428 33846 2877 NA NA NA NA 1832 34124 2959 NA NA NA
