Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 136.726 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.729 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.731 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.736 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.737 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.738 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.74 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.741 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.742 NA 52 NA NA NA NA NA 131 NA NA NA NA NA 535 NA NA NA NA NA 1972 NA NA NA NA
1560718800.0 136.743 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.744 NA 53 NA NA NA NA NA 132 NA NA NA NA NA 533 NA NA NA NA NA 1974 NA NA NA NA
1560718800.0 136.745 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.746 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.747 NA 53 NA NA NA NA NA 133 NA NA NA NA NA 534 NA NA NA NA NA 1973 NA NA NA NA
1560718800.0 136.748 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.749 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.75 NA 53 NA NA NA NA NA 131 NA NA NA NA NA 545 NA NA NA NA NA 1976 NA NA NA NA
1560718800.0 136.752 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.755 NA 53 NA NA NA NA NA 132 NA NA NA NA NA 540 NA NA NA NA NA 1977 NA NA NA NA
1560718800.0 136.756 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.757 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.76 NA 54 NA NA NA NA NA 133 NA NA NA NA NA 558 NA NA NA NA NA 1981 NA NA NA NA
1560718800.0 136.765 NA 53 NA NA NA NA NA 130 NA NA NA NA NA 538 NA NA NA NA NA 1976 NA NA NA NA
1560718800.0 136.767 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.769 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.772 NA 53 NA NA NA NA NA 133 NA NA NA NA NA 534 NA NA NA NA NA 1971 NA NA NA NA
1560718800.0 136.7721 NA 157 0 NA NA NA NA 242 0 NA NA NA NA 5549 275 NA NA NA NA 5909 321 NA NA NA
1560718800.0 136.7722 NA 128 0 NA NA NA NA 215 0 NA NA NA NA 8119 349 NA NA NA NA 8880 429 NA NA NA
1560718800.0 136.773 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.774 NA 52 NA NA NA NA NA 132 NA NA NA NA NA 526 NA NA NA NA NA 1977 NA NA NA NA
1560718800.0 136.775 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.776 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.777 NA 52 NA NA NA NA NA 132 NA NA NA NA NA 539 NA NA NA NA NA 1978 NA NA NA NA
1560718800.0 136.779 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.7801 NA 93 NA NA NA NA NA 170 NA NA NA NA NA 1359 NA NA NA NA NA 1531 NA NA NA NA
1560718800.0 136.7802 NA 85 0 NA NA NA NA 150 0 NA NA NA NA 1124 680 NA NA NA NA 1564 762 NA NA NA
1560718800.0 136.7803 NA 89 NA NA NA NA NA 168 NA NA NA NA NA 1401 NA NA NA NA NA 1769 NA NA NA NA
1560718800.0 136.781 NA 53 NA NA NA NA NA 130 NA NA NA NA NA 545 NA NA NA NA NA 1973 NA NA NA NA
1560718800.0 136.782 NA 53 NA NA NA NA NA 132 NA NA NA NA NA 530 NA NA NA NA NA 1973 NA NA NA NA
1560718800.0 136.783 NA 53 NA NA NA NA NA 132 NA NA NA NA NA 521 NA NA NA NA NA 1971 NA NA NA NA
1560718800.0 136.784 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.789 NA 53 NA NA NA NA NA 132 NA NA NA NA NA 519 NA NA NA NA NA 1964 NA NA NA NA
1560718800.0 136.79 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.792 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 553 NA NA NA NA NA 1981 NA NA NA NA
1560718800.0 136.793 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.7952 NA 151 0 NA NA NA NA 237 0 NA NA NA NA 7416 383 NA NA NA NA 7872 435 NA NA NA
1560718800.0 136.796 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 533 NA NA NA NA NA 1983 NA NA NA NA
1560718800.0 136.798 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 534 NA NA NA NA NA 1985 NA NA NA NA
1560718800.0 136.799 NA 54 NA NA NA NA NA 133 NA NA NA NA NA 530 NA NA NA NA NA 1983 NA NA NA NA
1560718800.0 136.801 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.802 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 551 NA NA NA NA NA 1980 NA NA NA NA
1560718800.0 136.803 NA 75 295 0 NA NA NA 153 350 0 NA NA NA 1451 4943 1457 NA NA NA 1903 5083 1545 NA NA
1560718800.0 136.804 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.806 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 553 NA NA NA NA NA 1984 NA NA NA NA
1560718800.0 136.807 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 558 NA NA NA NA NA 1982 NA NA NA NA
1560718800.0 136.808 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.809 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.81 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 544 NA NA NA NA NA 1986 NA NA NA NA
1560718800.0 136.811 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.813 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.814 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.815 NA 77 296 0 NA NA NA 153 349 0 NA NA NA 1296 4915 1699 NA NA NA 1382 5078 1744 NA NA
1560718800.0 136.816 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.819 NA 55 NA NA NA NA NA 132 NA NA NA NA NA 556 NA NA NA NA NA 1990 NA NA NA NA
1560718800.0 136.82 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.821 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.823 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.824 NA 52 NA NA NA NA NA 131 NA NA NA NA NA 457 NA NA NA NA NA 1069 NA NA NA NA
1560718800.0 136.825 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.83 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 546 NA NA NA NA NA 1981 NA NA NA NA
1560718800.0 136.831 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.8311 NA 157 0 NA NA NA NA 243 0 NA NA NA NA 3713 311 NA NA NA NA 3885 390 NA NA NA
1560718800.0 136.833 NA 51 NA NA NA NA NA 130 NA NA NA NA NA 425 NA NA NA NA NA 970 NA NA NA NA
1560718800.0 136.834 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.84 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.841 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 537 NA NA NA NA NA 1983 NA NA NA NA
1560718800.0 136.842 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.843 NA 55 NA NA NA NA NA 134 NA NA NA NA NA 539 NA NA NA NA NA 1984 NA NA NA NA
1560718800.0 136.844 NA 52 NA NA NA NA NA 132 NA NA NA NA NA 549 NA NA NA NA NA 1971 NA NA NA NA
1560718800.0 136.845 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 136.846 NA 54 NA NA NA NA NA 134 NA NA NA NA NA 540 NA NA NA NA NA 1980 NA NA NA NA
1560718800.0 136.8521 NA 152 0 NA NA NA NA 238 0 NA NA NA NA 4063 309 NA NA NA NA 4330 360 NA NA NA
1560718800.0 136.856 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 139901.0 NA 96 300 0 NA NA NA 176 355 0 NA NA NA 1387 3999 1303 NA NA NA 1558 4342 1354 NA NA
1560718800.0 139902.0 NA 99 300 0 NA NA NA 177 360 0 NA NA NA 1439 3155 1051 NA NA NA 1669 3304 1094 NA NA
1560718800.0 140.0 73 91 184 0 NA NA 127 131 232 0 NA NA 4603 881 1500 675 NA NA 4965 1970 1729 723 NA NA
1560718800.0 140.51 NA 37 190 0 NA NA NA 102 232 0 NA NA NA 1261 3049 621 NA NA NA 1352 3228 659 NA NA
1560718800.0 140.53 NA 224 0 NA NA NA NA 311 0 NA NA NA NA 8385 711 NA NA NA NA 8936 763 NA NA NA
1560718800.0 145.0 73 101 184 0 NA NA 119 132 233 0 NA NA 4758 669 1962 660 NA NA 5644 1208 2513 720 NA NA
